State,Year,Subject,Score
Hawaii,2013,Science,19.9
Idaho,2013,Science,21.8
Illinois,2013,Science,20.5
Indiana,2013,Science,21.4
Iowa,2013,Science,22.2
Kansas,2013,Science,21.7
Kentucky,2013,Science,19.7
Louisiana,2013,Science,19.2
Maine,2013,Science,22.9
Maryland,2013,Science,21.9
Massachusetts,2013,Science,23.2
Michigan,2013,Science,20.2
Minnesota,2013,Science,22.9
Mississippi,2013,Science,18.8
Missouri,2013,Science,21.6
Montana,2013,Science,21.2
Nebraska,2013,Science,21.5
Nevada,2013,Science,21.1
New Hampshire,2013,Science,23.2
New Jersey,2013,Science,22.2
New Mexico,2013,Science,20.1
New York,2013,Science,23.1
North Carolina,2013,Science,18.7
North Dakota,2013,Science,20.7
Ohio,2013,Science,21.8
Oklahoma,2013,Science,20.8
Oregon,2013,Science,21.3
Pennsylvania,2013,Science,22.2
Rhode Island,2013,Science,22.0
South Carolina,2013,Science,20.3
South Dakota,2013,Science,22.1
Tennessee,2013,Science,19.4
Texas,2013,Science,20.9
Utah,2013,Science,20.8
Vermont,2013,Science,22.6
Virginia,2013,Science,22.2
Washington,2013,Science,22.5
West Virginia,2013,Science,20.6
Wisconsin,2013,Science,22.2
Wyoming,2013,Science,20.0
Alabama,2014,Composite,20.6
Alaska,2014,Composite,21.0
Arizona,2014,Composite,19.7
Arkansas,2014,Composite,20.4
California,2014,Composite,22.3
Colorado,2014,Composite,20.6
Connecticut,2014,Composite,24.2
Delaware,2014,Composite,23.2
District of Columbia,2014,Composite,21.6
Florida,2014,Composite,19.6
Georgia,2014,Composite,20.8
Hawaii,2014,Composite,18.2
Idaho,2014,Composite,22.4
Illinois,2014,Composite,20.7
Indiana,2014,Composite,21.9
Iowa,2014,Composite,22.0
Kansas,2014,Composite,22.0
Kentucky,2014,Composite,19.9
Louisiana,2014,Composite,19.2
Maine,2014,Composite,23.6
Maryland,2014,Composite,22.6
Massachusetts,2014,Composite,24.3
Michigan,2014,Composite,20.1
Minnesota,2014,Composite,22.9
Mississippi,2014,Composite,19.0
Missouri,2014,Composite,21.8
Montana,2014,Composite,20.5
Nebraska,2014,Composite,21.7
Nevada,2014,Composite,21.2
New Hampshire,2014,Composite,24.2
New Jersey,2014,Composite,23.1
New Mexico,2014,Composite,19.9
New York,2014,Composite,23.4
North Carolina,2014,Composite,18.9
North Dakota,2014,Composite,20.6
Ohio,2014,Composite,22.0
Oklahoma,2014,Composite,20.7
Oregon,2014,Composite,21.4
Pennsylvania,2014,Composite,22.7
Rhode Island,2014,Composite,22.9
South Carolina,2014,Composite,20.4
South Dakota,2014,Composite,21.9
Tennessee,2014,Composite,19.8
Texas,2014,Composite,20.9
Utah,2014,Composite,20.8
Vermont,2014,Composite,23.2
Virginia,2014,Composite,22.8
Washington,2014,Composite,23.0
West Virginia,2014,Composite,20.6
Wisconsin,2014,Composite,22.2
Wyoming,2014,Composite,20.1
Alabama,2014,English,20.7
Alaska,2014,English,19.9
Arizona,2014,English,18.8
Arkansas,2014,English,20.1
California,2014,English,21.8
Colorado,2014,English,20.1
Connecticut,2014,English,24.2
Delaware,2014,English,22.7
District of Columbia,2014,English,21.2
Florida,2014,English,18.7
Georgia,2014,English,20.3
Hawaii,2014,English,16.9
Idaho,2014,English,21.9
Illinois,2014,English,20.3
Indiana,2014,English,21.1
Iowa,2014,English,21.5
Kansas,2014,English,21.4
Kentucky,2014,English,19.4
Louisiana,2014,English,18.9
Maine,2014,English,23.3
Maryland,2014,English,22.1
Massachusetts,2014,English,24.0
Michigan,2014,English,19.3
Minnesota,2014,English,22.1
Mississippi,2014,English,18.8
Missouri,2014,English,21.6
Montana,2014,English,19.3
Nebraska,2014,English,21.3
Nevada,2014,English,20.2
New Hampshire,2014,English,23.9
New Jersey,2014,English,22.8
New Mexico,2014,English,18.9
New York,2014,English,22.7
North Carolina,2014,English,17.5
North Dakota,2014,English,19.6
Ohio,2014,English,21.4
Oklahoma,2014,English,20.3
Oregon,2014,English,20.8
Pennsylvania,2014,English,22.1
Rhode Island,2014,English,22.7
South Carolina,2014,English,19.7
South Dakota,2014,English,21.0
Tennessee,2014,English,19.6
Texas,2014,English,19.8
Utah,2014,English,20.0
Vermont,2014,English,22.8
Virginia,2014,English,22.4
Washington,2014,English,22.3
West Virginia,2014,English,20.4
Wisconsin,2014,English,21.6
Wyoming,2014,English,19.3
Alabama,2014,Mathematics,19.5
Alaska,2014,Mathematics,21.1
Arizona,2014,Mathematics,20.2
Arkansas,2014,Mathematics,19.9
California,2014,Mathematics,22.8
Colorado,2014,Mathematics,20.4
Connecticut,2014,Mathematics,24.1
Delaware,2014,Mathematics,23.2
District of Columbia,2014,Mathematics,21.5
Florida,2014,Mathematics,19.5
Georgia,2014,Mathematics,20.5
Hawaii,2014,Mathematics,19.0
Idaho,2014,Mathematics,22.0
Illinois,2014,Mathematics,20.7
Indiana,2014,Mathematics,21.9
Iowa,2014,Mathematics,21.4
Kansas,2014,Mathematics,21.7
Kentucky,2014,Mathematics,19.4
Louisiana,2014,Mathematics,18.9
Maine,2014,Mathematics,23.6
Maryland,2014,Mathematics,22.5
Massachusetts,2014,Mathematics,24.6
Michigan,2014,Mathematics,19.9
Minnesota,2014,Mathematics,23.0
Mississippi,2014,Mathematics,18.3
Missouri,2014,Mathematics,21.1
Montana,2014,Mathematics,20.5
Nebraska,2014,Mathematics,21.1
Nevada,2014,Mathematics,21.2
New Hampshire,2014,Mathematics,24.2
New Jersey,2014,Mathematics,23.7
New Mexico,2014,Mathematics,19.7
New York,2014,Mathematics,23.8
North Carolina,2014,Mathematics,19.6
North Dakota,2014,Mathematics,20.7
Ohio,2014,Mathematics,21.7
Oklahoma,2014,Mathematics,19.9
Oregon,2014,Mathematics,21.4
Pennsylvania,2014,Mathematics,22.8
Rhode Island,2014,Mathematics,22.8
South Carolina,2014,Mathematics,20.3
South Dakota,2014,Mathematics,21.8
Tennessee,2014,Mathematics,19.2
Texas,2014,Mathematics,21.4
Utah,2014,Mathematics,20.3
Vermont,2014,Mathematics,23.0
Virginia,2014,Mathematics,22.7
Washington,2014,Mathematics,23.3
West Virginia,2014,Mathematics,19.5
Wisconsin,2014,Mathematics,22.0
Wyoming,2014,Mathematics,19.9
Alabama,2014,Reading,21.3
Alaska,2014,Reading,21.6
Arizona,2014,Reading,20.0
Arkansas,2014,Reading,20.8
California,2014,Reading,22.3
Colorado,2014,Reading,20.9
Connecticut,2014,Reading,24.5
Delaware,2014,Reading,23.7
District of Columbia,2014,Reading,22.0
Florida,2014,Reading,20.7
Georgia,2014,Reading,21.4
Hawaii,2014,Reading,18.3
Idaho,2014,Reading,23.0
Illinois,2014,Reading,20.8
Indiana,2014,Reading,22.3
Iowa,2014,Reading,22.5
Kansas,2014,Reading,22.5
Kentucky,2014,Reading,20.3
Louisiana,2014,Reading,19.5
Maine,2014,Reading,24.1
Maryland,2014,Reading,23.0
Massachusetts,2014,Reading,24.5
Michigan,2014,Reading,20.2
Minnesota,2014,Reading,23.1
Mississippi,2014,Reading,19.4
Missouri,2014,Reading,22.3
Montana,2014,Reading,21.1
